Month,L,M,S,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
0,0.3487,3.3464,0.14602,2.459312,2.603994,2.757621,3.027282,3.3464,3.686659,4.011499,4.214527,4.419354
1,0.2297,4.4709,0.13395,3.39089,3.566165,3.752603,4.080792,4.4709,4.889123,5.290726,5.542933,5.798331
2,0.197,5.5675,0.12385,4.31889,4.522344,4.738362,5.117754,5.5675,6.048448,6.509323,6.798348,7.090758
3,0.1738,6.3762,0.11727,5.018434,5.240269,5.475519,5.888058,6.3762,6.897306,7.395936,7.708329,8.024169
4,0.1553,7.0023,0.11316,5.561377,5.797135,6.046988,6.484777,7.0023,7.554286,8.082087,8.412602,8.746662
5,0.1395,7.5105,0.1108,5.996672,6.244465,6.507016,6.966941,7.5105,8.090161,8.644384,8.991445,9.342238
6,0.1257,7.934,0.10958,6.352967,6.611702,6.885864,7.366195,7.934,8.539707,9.119041,9.481939,9.848832
7,0.1134,8.297,0.10902,6.653301,6.922131,7.207057,7.706413,8.297,8.927371,9.530656,9.908738,10.29113
8,0.1021,8.6151,0.10882,6.913126,7.19127,7.486158,8.003205,8.6151,9.268678,9.894622,10.28713,10.68428
9,0.0917,8.9014,0.10881,7.144822,7.431644,7.735837,8.26946,8.9014,9.5769,10.22433,10.63055,11.04177
10,0.082,9.1649,0.10891,7.356558,7.651572,7.964565,8.5139,9.1649,9.861313,10.5293,10.94868,11.37341
11,0.073,9.4122,0.10906,7.55441,7.857229,8.178615,8.742959,9.4122,10.12867,10.81641,11.24845,11.6862
12,0.0644,9.6479,0.10925,7.742219,8.052577,8.382077,8.960956,9.6479,10.38387,11.09087,11.53526,11.98574
13,0.0563,9.8749,0.10949,7.922091,8.239848,8.577324,9.170505,9.8749,10.63014,11.35618,11.81281,12.27589
14,0.0487,10.0953,0.10976,8.095984,8.421033,8.76637,9.373665,10.0953,10.86959,11.61449,12.08325,12.55884
15,0.0413,10.3108,0.11007,8.265127,8.597424,8.950586,9.571948,10.3108,11.10416,11.86797,12.34891,12.83707
16,0.0343,10.5228,0.11041,8.430734,8.770274,9.13126,9.7667,10.5228,11.33528,12.11808,12.61125,13.11206
17,0.0275,10.7319,0.11079,8.593128,8.939942,9.308795,9.958406,10.7319,11.5637,12.36571,12.87128,13.38491
18,0.0211,10.9385,0.11119,8.752902,9.107002,9.483736,10.14755,10.9385,11.7897,12.61101,13.12906,13.65558
19,0.0148,11.143,0.11164,8.909889,9.27136,9.656076,10.33431,11.143,12.01396,12.855,13.38579,13.92552
20,0.0087,11.3462,0.11211,9.065209,9.434095,9.826848,10.51961,11.3462,12.23713,13.09811,13.64181,14.19492
21,0.0029,11.5486,0.11261,9.219037,9.595435,9.996335,10.70383,11.5486,12.45983,13.3411,13.89795,14.46469
22,-0.0028,11.7504,0.11314,9.371554,9.755556,10.16471,10.88716,11.7504,12.6823,13.58426,14.15453,14.7352
23,-0.0083,11.9514,0.11369,9.522741,9.914417,10.33191,11.06946,11.9514,12.90424,13.82718,14.41108,15.0059
24,-0.0137,12.1515,0.11426,9.672527,10.07194,10.49784,11.25065,12.1515,13.12555,14.06979,14.66753,15.27674
25,-0.0189,12.3507,0.11485,9.820872,10.22806,10.6624,11.43066,12.3507,13.34622,14.31211,14.92391,15.54766
26,-0.0239,12.5489,0.11545,9.967732,10.38273,10.8255,11.60941,12.5489,13.5662,14.55413,15.18014,15.81861
27,-0.0288,12.7461,0.11607,10.11306,10.53591,10.98707,11.78682,12.7461,13.78546,14.79588,15.43623,16.08954
28,-0.0335,12.9424,0.1167,10.25681,10.68755,11.147,11.96283,12.9424,14.004,15.03736,15.6922,16.36039
29,-0.0381,13.1377,0.11734,10.39895,10.83761,11.30524,12.13735,13.1377,14.22177,15.27858,15.94806,16.63113
30,-0.0426,13.332,0.11799,10.53944,10.98604,11.46171,12.31034,13.332,14.43876,15.51954,16.20381,16.90171
31,-0.047,13.5253,0.11865,10.67824,11.1328,11.61634,12.48173,13.5253,14.65496,15.76026,16.45946,17.1721
32,-0.0512,13.7176,0.11932,10.81532,11.27786,11.76908,12.65148,13.7176,14.87034,16.00073,16.71502,17.44226
33,-0.0554,13.909,0.12,10.95065,11.42119,11.91986,12.81952,13.909,15.08491,16.24098,16.97049,17.71216
34,-0.0594,14.0994,0.12068,11.08421,11.56274,12.06862,12.98582,14.0994,15.29864,16.481,17.22588,17.98177
35,-0.0633,14.2889,0.12137,11.21596,11.70247,12.21532,13.15033,14.2889,15.51154,16.72081,17.48119,18.25106
36,-0.0671,14.4773,0.12207,11.34587,11.84034,12.35989,13.313,14.4773,15.72358,16.96042,17.73644,18.52001